Yillar_Years,Diphteria,Pertussis,Poliomielitis,Tetanus,Measles
1991,-,-,-,-,-
1992,83.3,78.4,85.3,-,-
1993,49.2,44.7,45.9,-,-
1994,66.7,65.2,79,-,-
1995,85.1,84.1,98.2,-,-
1996,95.7,95,96.6,-,-
1997,96.6,95.8,97.9,-,-
1998,98.4,98,99,-,-
1999,98.8,98.3,99,-,-
2000,99.1,99.1,99.1,99.1,99.1
2001,99.1,98.9,99.4,99.1,98.9
2002,98.8,98.5,99.4,98.7,96.8
2003,98.3,98.2,99,98.3,98.6
2004,98.8,98.7,99.4,98.8,98.3
2005,98.5,98.5,99.3,98.5,98.7
2006,95.8,95.4,94.6,95.8,98
2007,95.5,95.3,98.1,95.5,98.4
2008,97.5,97.5,97.8,97.5,99.6
2009,97.6,97.6,98.5,97.7,99.9
2010,99.2,99.2,99.5,97.7,99.3
2011,99.3,99.2,99.7,99.3,99.9
2012,99.9,99.9,100,99.9,100
2013,99.9,99.9,99.9,-,99.9
2014,99.8,99.8,99.9,-,99.9
2015,99.8,99.8,99.9,-,99.9
2016,99.9,99.9,100,-,99.9
2017,99.8,99.8,100,-,-
2018,99.7,99.7,99.9,-,-
2019,100,99.5,100,-,99.9
2020,98.8,98.8,99.7,99.8,99.3
2021,98.4,98.4,99.4,98.4,99